,Clave,Lon,Lat,Edo,Ciudad,Tmin,Tmed,Tmax,Ene
202,TROMX,-100.28,19.1,MEX,Trojes Méx.,2.5,12.30645161,22.11290323,1.01
203,SLAMX,-98.87,19.19,MEX,San Luis Ameca Méx.,3.85483871,12.64516129,21.43548387,6.01
204,SJHMX,-99.76,19.24,MEX,San Juan de las Huertas Méx.,2.483870968,9.661290323,16.83870968,0.0
205,PTLMX,-99.28,19.45,MEX,Presa Totolica Méx.,2.419354839,11.73387097,21.048387100000003,1.5
206,EMOMX,-99.24,19.45,MEX,El Molinito Río Hondo Méx.,-1.096774194,11.4516129,24.0,0.0
207,SBBMX,-99.7,19.47,MEX,José Antonio Alzate Méx.,-1.935483871,9.596774194,21.12903226,0.0
208,MBLMX,-99.22,19.48,MEX,Molino Blanco Méx.,4.741935484,13.11290323,21.48387097,6.0
209,CHPMX,-98.88,19.48,MEX,Chapingo Méx.,3.725806452,14.28225806,24.83870968,8.9
210,ARBMX,-99.22,19.57,MEX,Las Arboledas Méx.,5.661290322999999,14.50806452,23.35483871,3.1
211,GRDMX,-98.92,19.58,MEX,La Grande Méx.,7.258064516,14.75806452,22.25806452,0.0
212,OBSMX,-99.19,19.62,MEX,San Martín Obispo Méx.,7.387096774,14.31451613,21.24193548,9.9
213,K27MX,-99.05,19.63,MEX,km 27+250 Méx.,8.032258065,15.01612903,22.0,4.5
214,SNLMX,-98.86,19.64,MEX,San Lucas Mex.,3.193548387,12.59677419,22.0,3.2
215,CNPMX,-99.3,19.7,MEX,La Concepción Méx.,2.935483871,12.62903226,22.32258065,2.0
216,PCGMX,-99.18,19.74,MEX,Puente Colgante Méx.,2.419354839,11.70967742,21.0,11.02
217,DNXMX,-99.56,19.88,MEX,Danxhó Méx.,0.7419354840000001,9.693548387,18.64516129,8.0
218,TTQMX,-99.12,19.9,MEX,Tajo de Tequixquiac Mex.,1.967741935,12.08064516,22.19354839,9.51
219,ZICMC,-101.93,18.92,MICH,Zicuirán Mich.,17.12903226,28.5,39.87096774,0.0
220,APAMC,-102.37,19.08,MICH,Apatzingán Mich. SMN*,17.71935484,26.23387097,34.7483871,0.0
221,APTMC,-102.37,19.08,MICH,Apatzingán Mich.,15.09677419,24.31451613,33.53225806,0.0
222,LOLMC,-102.87,19.21,MICH,Los Olivos Mich.,14.5,26.298387100000003,38.09677419,42.0
223,PDBMC,-101.05,19.49,MICH,Planta de Bombeo Mich.,5.032258065,14.78225806,24.53225806,21.0
224,VJIMC,-101.45,19.55,MICH,Villa Jiménez Mich.,2.967741935,13.28225806,23.59677419,10.61
225,COIMC,-101.26,19.63,MICH,Coíntzio Mich.,5.4193548389999995,14.74032258,24.06129032,5.83
226,MORMC,-101.18,19.69,MICH,Morelia Mich.,7.64516129,16.02419355,24.40322581,19.82
227,MCEMC,-101.1,19.7,MICH,Morelia Centro Mich.,8.309677419,16.17096774,24.03225806,14.11
228,CHIMC,-100.55,19.7,MICH,Ciudad Hidalgo Mich.,5.112903226,14.04032258,22.96774194,0.0
229,MLPMC,-100.87,19.83,MICH,Malpaís Mich.,4.064516128999999,14.80645161,25.548387100000003,0.01
230,SJUMC,-102.65,19.84,MICH,San Juanico Mich.,7.370967742,16.31451613,25.25806452,18.0
231,MRVMC,-100.44,19.89,MICH,Maravatío Mich.,3.516129032,14.7983871,26.08064516,13.0
232,UREMC,-102.14,19.96,MICH,Urepetiro Mich.,3.14516129,13.02419355,22.90322581,2.8
233,EGIMC,-100.45,19.97,MICH,El Gigante Mich.,4.677419355,15.68548387,26.69354839,1.5
234,SAHMC,-102.72,20.07,MICH,Sahuayo Mich.,5.435483871000001,15.71774194,26.0,4.02
235,SSIMC,-102.4,20.1,MICH,San Simón Mich.,12.29032258,19.62903226,26.96774194,6.01
236,LPAMC,-102.75,20.15,MICH,La Palma Mich.,9.816129032000001,16.74677419,23.67741935,26.2
237,PORMC,-101.6,20.3,MICH,Pastor Ortiz Mich.,4.838709677,13.70967742,22.58064516,0.82
238,CBLMC,-101.46,20.32,MICH,Casa Blanca Mich.,5.112903226,14.70967742,24.30645161,6.11
239,HIGMR,-99.18,18.57,MOR,Higuerón Mor.,12.48387097,20.66129032,28.83870968,0.0
240,JOJMR,-99.2,18.6,MOR,Jojutla Mor.,10.69354839,22.43548387,34.17741935,0.0
241,GAVNR,-105.14,20.89,NAY,Gaviotas Nay.,16.61290323,24.25,31.88709677,3.0
242,TEPNR,-104.89,21.49,NAY,Tepic Nay.,13.98709677,21.0,28.01290323,1.3
243,ACAPONETA,-105.39,22.47,NAY,Acaponeta Nay. SMN*,15.93225806,23.30806452,30.68387097,0.0
244,DARNL,-100.17,23.68,NL,Doctor Arroyo N.L.,6.64516129,14.75806452,22.87096774,6.0
245,ZRGNL,-99.78,23.98,NL,Zaragoza N.L.,6.4193548389999995,14.46774194,22.51612903,8.0
246,ARRNL,-99.82,24.1,NL,Aramberri N.L.,6.1333333329999995,14.83333333,23.53333333,9.33
247,CRUNL,-99.7,24.78,NL,Crucitas N.L.,7.517857143,14.42857143,21.33928571,19.71
248,GALNL,-100.08,24.83,NL,Galeana N.L.,5.225806452,11.70967742,18.19354839,2.9
249,CPRNL,-99.4,24.94,NL,José López Portillo N.L.,8.788461538,14.91346154,21.03846154,21.43
250,SRANL,-100.55,25.03,NL,San Rafael N.L.,-1.35483871,10.11290323,21.58064516,7.01
251,LBCNL,-100.13,25.43,NL,La Boca N.L.,7.314814815,14.22222222,21.12962963,38.2
252,ECSNL,-100.2,25.52,NL,El Cerrito N.L.,5.178571429,13.48214286,21.78571429,35.0
253,MTRNL,-100.27,25.68,NL,Monterrey N.L.,8.803571429,15.33928571,21.875,36.32
254,OBSNL,-100.3,25.73,NL,Observatorio de Nuevo León N.L.,9.296153846000001,15.96538462,22.63461538,36.32
255,CANNL,-100.27,25.8,NL,El Canadá N.L.,8.923076923,15.48076923,22.03846154,31.25
256,CDFNL,-100.17,25.95,NL,Ciénega de Flores N.L.,7.103448276,13.93965517,20.77586207,54.0
257,CRVNL,-99.61,26.09,NL,Cerralvo N.L.,7.0,13.13793103,19.27586207,37.73
258,PTAOX,-96.48,15.67,OAX,Puerto Ángel Oax.,21.92580645,27.45967742,32.99354839,0.0
259,CHIOX,-94.82,16.58,OAX,Chicapa Oax.,21.77586207,25.80172414,29.82758621,1.84
260,BOQOX,-95.93,16.65,OAX,Boquilla 1 Oax.,11.19354839,22.75806452,34.32258065,0.01
261,OAOOX,-96.7,17.0,OAX,Observatorio de Aeropuerto Oaxaca Oax.,9.464516129,18.90806452,28.351612899999996,2.8
262,OACOX,-96.73,17.07,OAX,Oaxaca Centro Oax.,11.61290323,19.951612899999997,28.29032258,0.4
263,MAROX,-95.48,17.45,OAX,María Lombardo Oax.,16.84615385,21.29807692,25.75,28.04
264,HLOOX,-97.78,17.81,OAX,Observatorio de Huajuapan de León Oax.,6.687096774,17.60967742,28.53225806,1.8
265,JACOX,-96.2,17.87,OAX,Jacatepec Oax.,17.05,21.99166667,26.93333333,40.0
266,SFUOX,-96.53,17.88,OAX,San Felipe Usila Oax.,15.37931034,20.18965517,25.0,143.5
267,CDOOX,-96.26,18.0,OAX,Miguel de la Madrid Hurtado Oax.,16.72413793,22.04310345,27.36206897,143.31
268,PAPOX,-96.08,18.17,OAX,Papaloapan Oax.,19.96153846,23.67307692,27.38461538,37.17
269,TEMOX,-96.41,18.23,OAX,Presidente Alemán Oax.,18.37037037,23.11111111,27.85185185,31.9
270,CHSPB,-98.57,18.11,PUE,Chila de la Sal Pue.,6.161290322999999,19.69354839,33.22580645,0.0
271,PIXPB,-98.26,18.2,PUE,Piaxtla Pue.,9.935483871,21.35483871,32.77419355,0.01
272,TELPB,-98.78,18.45,PUE,Teotlalco Pue.,8.129032257999999,21.14516129,34.16129032,0.0
273,TEHPB,-97.4,18.48,PUE,Tehuacán Pue.,6.322580645,15.08064516,23.83870968,0.0
274,CHIPB,-98.58,18.52,PUE,Chietla Pue.,11.74193548,21.09677419,30.451612899999997,0.0
275,IZMPB,-98.47,18.61,PUE,Izúcar de Matamoros Pue.,17.77419355,21.16129032,24.548387100000003,0.0
276,HQCPB,-98.54,18.77,PUE,Huaquechula Pue.,9.774193548,18.74193548,27.70967742,0.0
277,TECPB,-97.75,18.88,PUE,Tecamachalco Pue.,4.64516129,13.93548387,23.22580645,0.0
278,BDDPB,-98.11,18.91,PUE,Manuel Ávila Camacho Pue.,3.322580645,12.66129032,22.0,0.0
279,PCRPB,-97.25,18.92,PUE,Paso Carretas Pue.,3.258064516,11.40322581,19.548387100000003,3.0
280,ECHPB,-98.28,18.97,PUE,Echeverría Pue.,5.35483871,15.38709677,25.41935484,0.0
281,CDSPB,-97.44,18.99,PUE,Ciudad Serdán Pue.,2.903225806,12.37096774,21.83870968,4.5
282,MAYPB,-98.23,19.01,PUE,Mayorazgo 21 Poniente Pue.,5.435483871000001,14.84677419,24.25806452,4.0
283,CNAPB,-98.2,19.02,PUE,Conagua Pue.,6.661290322999999,15.87903226,25.09677419,1.4
